A,B,C,D
"Discussing|Explaining|Anecdote telling,Computer programming, food, wine, temperature, saunas, opening presents",go would you like some water? </u><u> erm yeah please </u><u> can I top that one up for you? </u><u> oh yeah I''m gonna try chutney mm mm oh,right,</u><u> it''s it''s gonna be very sweet I think it''s like apple and pear and cinnamon and stuff </u><u> </unclea> </u><u> right </u><u> mm
"Discussing|Explaining|Anecdote telling,Computer programming, food, wine, temperature, saunas, opening presents",one </u><u> just happened to taste absolutely awful </u><u> it was also organic er </u><u> it was? oh,right,</u><u> it was just the worst thing </u><u> </u><u> it had like quite a lot of I don''t think sediment is the word I think sediment is
"Discussing|Explaining|Anecdote telling,Computer programming, food, wine, temperature, saunas, opening presents",<u> mm </u><u> I''m boiling is anyone else boiling shall I turn the heating down? </u><u> I''m definitely not boiling </u><u> I''m just,right,</u><u> okay </u><u> yeah all good thank you </u><u> I have got long johns on cos I was outside this morning singing and it was freezing so </u>
"Discussing|Explaining|Anecdote telling,Computer programming, food, wine, temperature, saunas, opening presents",and it''s so loud that you have to chew my smoothies anyway like </u><u> </unclea> </u><u> yeah yeah you''re,right,</u><u> well the last one I had was rather was really nice though </u><u> if you have frozen stuff in it as well that doesn''t quite </u><u> yeah </u><u> go
"Discussing|Explaining|Anecdote telling,Computer programming, food, wine, temperature, saunas, opening presents",free dark chocolate </u><u> I I can see I can see a pattern here </u><u> </unclea> </u><u> what is it? what is it? was I,right,? oh </unclea> kind of thing </u><u> you will agree </u><u> oh </u><u> that this is a bottle of something </u><u> </u><u>
"Discussing|Explaining|Anecdote telling,Computer programming, food, wine, temperature, saunas, opening presents",? </u><u> well i they''re Whittard''s competitors </u><u> but are they nice? </u><u> yeah alright </u><u> nobody else cares about that </u><u> yeah,right,</u><u> d''you guys like Earl Grey? </u><u> mm mm </u><u> good </u><u> so </unclea> </u><u> no we''ve had sun only sunflower and pine nuts </u><u> oh
"Discussing|Explaining|Anecdote telling,Computer programming, food, wine, temperature, saunas, opening presents",<u> thank you </u><u> </u><u> ah birthday excellent </u><u> right you can open that cos that''s for you and </u><u> oh,right,</u><u> now equally actually this is a bit of a free-for-all in itself I originally bought these two things in the
"Discussing|Explaining|Anecdote telling,Computer programming, food, wine, temperature, saunas, opening presents",they''re amazing </u><u> they''re size seven but they fit size six </u><u> this looks amazing </u><u> oh yeah I most of my shoes now are size seven </u><u> oh,right,</u><u> yeah </u><u> this looks horribly complicated </u><u> </u><u> it''s it is </u><u> which is the obvious thing look at the amount of
"Discussing|Explaining|Anecdote telling,Computer programming, food, wine, temperature, saunas, opening presents",your skirt </u><u> so your skirt bag </u><u> sorry I''ll post it </u><u> no but I didn''t think you were bringing it back to be honest so </u><u> oh,right,</u><u> </u><u> oh well I''ll post it to you anyway I can </u><u> but this one I got from a clothes swap and thought </u><u> oh yeah </u><u> you''re much
"Discussing|Explaining|Anecdote telling,Computer programming, food, wine, temperature, saunas, opening presents",<u> yeah that is the actual perfect time isn''t it? </u><u> </u><u> ah this one''s it''s for </u><u> I truly say thank you </u><u> oh,right,</u><u> I can''t remember what that is </u><u> it looks like the biggest thing ever </u><u> oh oh </u><u> that''s really cool </u><u> </unclea> oh thank
"Discussing|Explaining|Anecdote telling,Computer programming, food, wine, temperature, saunas, opening presents",<u> oh the thing it is seventy-five percent virgin wool warmness,right,</u><u> does that mean normal wool or? </u><u> virgin what does virgin mean? </u><u> </u><u> kind of just nodded and smiled it''s like er </u>
"Discussing|Explaining|Anecdote telling,Computer programming, food, wine, temperature, saunas, opening presents",</u><u> </u><u> </unclea> </u><u> beige cups </u><u> so you guys have played Jungle Speed,right,? yeah </u><u> they have Jungle Speed they introduced me to Jungle Speed </u><u> it''s such a terrible game it''s so
"Discussing|Explaining|Anecdote telling,Computer programming, food, wine, temperature, saunas, opening presents",appear in I guess? </u><u> oh </u><u> I dunno </u><u> </unclea> </u><u> Carpenter Bob </u><u> yeah </u><u> I''d love it if that was,right,</u><u> erm </unclea> </u><u> </u><u> er Donkey Kong </u><u> oh I''ve heard of Donkey Kong </u><u> yeah cos he was like the guy who was the
"Discussing|Explaining|Anecdote telling,Computer programming, food, wine, temperature, saunas, opening presents",<u> four </u><u> to destroy yes </u><u> no fi oh </u><u> it''s four it''s four because the the long one is only four blocks long </u><u> </u><u> ah it''s four,right,</u><u> so that''s the maximum that you can fit down to get </u><u> oh </u><u> yeah </u><u> okay </u><u> I thought it was five for some reason bellend </u>
"Discussing|Explaining|Anecdote telling,Computer programming, food, wine, temperature, saunas, opening presents",to do so I fancy it later as well cos </u><u> mm </u><u> I think it''s gonna be like short enough </u><u> hey </u><u> yeah right what else that goes,right,</u><u> d''you want this gold bit? no </u><u> no no no paper for me thank you erm yeah they
"Discussing|Explaining|Inquiring,The art",level two </u><u> so we''re just going down the stairs again to level two and hopefully we''ll find what we''re looking for there </u><u> yes,right,</u><u> okay I came to look at this a while back with </u><u> yeah? </u><u> this stuff in here yeah it''s
"Discussing|Explaining|Inquiring|Advising|Annecdote telling|Making arrangements,food, exercise, choir, family plans, family members, punctuality, school, teachers, philanthropy",gone well the operation and it''s erm </u><u> sorry </u><u> and also </u><u> shan''t mention it again </u><u> no but for someone who''s fit and active </u><u> you''re,right,</u><u> it''s actually really bothering </u><u> you''re right </u><u> it''s a bit of a bane in his life yeah </u><u> erm and he''s feeling a little bit like you
"Discussing|Explaining|Inquiring|Advising|Annecdote telling|Making arrangements,food, exercise, choir, family plans, family members, punctuality, school, teachers, philanthropy",also </u><u> shan''t mention it again </u><u> no but for someone who''s fit and active </u><u> you''re right </u><u> it''s actually really bothering </u><u> you''re,right,</u><u> it''s a bit of a bane in his life yeah </u><u> erm and he''s feeling a little bit like you know not so nice about it he''s worried isn''t he
"Discussing|Explaining|Inquiring|Advising|Annecdote telling|Making arrangements,food, exercise, choir, family plans, family members, punctuality, school, teachers, philanthropy",all the restaurants were empty you know this was at nine PM anyway we thought we were late for dinner </u><u> mm mm no no that''s,right,</u><u> and erm </u><u> well we could never had any problem getting a table cos we were far too early </u><u> exactly and then you see at eleven </u>
"Discussing|Explaining|Inquiring|Advising|Annecdote telling|Making arrangements,food, exercise, choir, family plans, family members, punctuality, school, teachers, philanthropy",e every the first thing her dad says every time I meet him </u><u> cold </u><u> how are you? cold </u><u> yeah cos they don''t have heating </u><u> no that''s,right,</u><u> erm we had we were laughing about it they I think have to provide a er oil radiator for her parents in the bedroom </u><u> right </u><u> cos
"Discussing|Explaining|Inquiring|Advising|Annecdote telling|Making arrangements,food, exercise, choir, family plans, family members, punctuality, school, teachers, philanthropy",kind of wanted to have it that way round </u><u> so where is she from ? </u><u> he was in the army so they''ve moved around a lot </u><u> oh,right,</u><u> was it the Navy? maybe in the Navy </u><u> mm </u><u> but erm they did spend quite a few years up here in </u><u> mm </u><u> I don''t exactly
"Discussing|Explaining,(Unknown)",just like </u><u> yeah yes </u><u> </unclea> was that your honeymoon you were talking about? </u><u> yes yes it was </u><u> yeah that''s,right,</u><u> yes yes I mean there were four courses because there was a you know the the fish the soup course </u><u> yeah </u><u> then fish then meat
"Discussing|Explaining,(Unknown)",<u> you know this one''s very nice though actually this one here </u><u> oh what''s that one called? </u><u> th this is Badger isn''t it from </u><u> ah,right,</u><u> you got from Aldi today? </u><u> yeah </u><u> cos it''s yeah </u><u> oh right yeah </u><u> I might have to pick some of that up </u><u> mm </u><u> oh </u><u> well I I may say the flush is
"Discussing|Explaining,(Unknown)",uhu </u><u> mm </u><u> well the various cross channel ferries have been cancelled for today into tomorrow because of this storm </u><u> oh,right,</u><u> yeah </u><u> oh oh I er </u><u> m maybe some of the the crossing further west </u><u> maybe </u><u> they''re sort of you know </u><u> yeah </u><u> the the Plymouth ones there
