A,B,C,D
32521,,,
,,,
,,,
Reference,Left,KWIC,Right
"Discussing|Explaining|Anecdote telling,Computer programming, food, wine, temperature, saunas, opening presents",</u><u> </u><u> </unclea> </u><u> beige cups </u><u> so you guys have played Jungle Speed,right,? yeah </u><u> they have Jungle Speed they introduced me to Jungle Speed </u><u> it''s such a terrible game it''s so
"Discussing|Explaining|Anecdote telling,Computer programming, food, wine, temperature, saunas, opening presents",one we''ve done that long has been Risk </u><u> mm </u><u> like I pretty quickly swapped in my mind which who was gonna get </u><u> mm </u><u> which of those,right,next </u><u> I want to start an online board games library </u><u> been meaning to do it just to keep track cos we''ve got a board
"Discussing|Explaining|Anecdote telling,Computer programming, food, wine, temperature, saunas, opening presents",well I''ll try this one out </unclea> very good </u><u> right </u><u> next okay er,right,I er what''s this one again? ah this is from you isn''t it to me shall I open this? </u><u> yes </u><u> that''s what you wrapped this
"Discussing|Explaining|Anecdote telling,Computer programming, food, wine, temperature, saunas, opening presents",oil and two percent vinegar and lemon garlic rosemary </unclea> </u><u> lemon garlic and rosemary </u><u> mm,right,well I''ll sort the other one er right now this one you''re almost certainly gonna want me to change
"Discussing|Explaining|Anecdote telling,Computer programming, food, wine, temperature, saunas, opening presents",wasn''t it? </u><u> yeah you could have like fruit or you could have it like skulls one and stuff like yeah </u><u> mm </u><u> it was good,right,I''m gonna move some of these things </u><u> mm </u><u> elsewhere </u><u> yeah we should move things </u><u> yeah </u><u> huge pile </u><u> clear the decks </u><u> yeah </u><u> deck
"Discussing|Explaining,(Unknown)",I''m it''s </u><u> I''m sure it''ll be just as good </u><u> this is not New Zealand frozen </u><u> no exactly </u><u> now mind the plate it''s hot </u><u> yes,right,wow I''ll tell you what let me help yourself </u><u> </unclea> </u><u> you ta have you got a spoon there
"Discussing|Explaining,(Unknown)",on my plate there </u><u> mint sauce important </u><u> thank you </u><u> thank you </u><u> right could we have the salt mummy? it''s in the top,right,cupboard in a tall squirty thing not squirty grindy thing top right </u><u> this </unclea> thing? </u><u> yeah </u>
"Discussing|Explaining,(Unknown)",of Sado it''s </u><u> yeah </u><u> so we went there and just just didn''t know what was just me and a friend and my mates </u><u> yeah </u><u> and just went,right,what shall we do? let''s go there get on a train and so we went and then </u><u> yes yeah </u><u> thought well what are we gonna do now? er well
"Discussing|Explaining,(Unknown)",? I went er </u><u> </u><u> well yeah </u><u> </u><u> sai is he called ? I went y yeah </u><u> yeah </u><u> and she said,right,well okay this is you know who''s this dresser girl </u><u> yes right yes </u><u> and she said she sai she sort of recognised you
"Discussing|Explaining,(Unknown)",? I went y yeah </u><u> yeah </u><u> and she said right well okay this is you know who''s this dresser girl </u><u> yes,right,yes </u><u> and she said she sai she sort of recognised you anyway she said apparently she said well ''s worked with
"Discussing|Explaining,(Unknown)",they wouldn''t know a person there </u><u> mm </u><u> so we got involved in a conversation with these two utter and complete strangers,right,and er you know the conversation just drifted around anything and everything </u><u> mm </u><u> and then got to holidays and I said
"Discussing|Explaining,(Unknown)",in travel </u><u> and just because it''s some trendy place in London </u><u> exactly well this is </u><u> and and you get the same result </u><u> this is,right,opposite tube station just just by </u><u> Boots </u><u> well no by yeah by Boots you know it''s just round the corner in a up a
"Discussing|Explaining,(Unknown)",<u> it''s funny cos </u><u> the short awful cut </u><u> there''s a </u><u> is the worst one </u><u> yeah </u><u> you know we''ve got two hairdressers in our local village,right,okay you know the one is the blue rinse brigade she''s </u><u> oh right yeah </u><u> the the it''s that''s where all </u><u> and stiff </u><u> all a all the old
"Discussing|Explaining|Announcing,School, YHA volunteering in Cornwall, travelling, lighthouse, relationships, photos, cycle race, Yorkshire in a day, crabs",it if you come over to mine it was in Yorkshire </u><u> yeah yeah? </u><u> yeah? </u><u> in the Yorkshire dales and the Yorkshire moors </u><u> yeah of,right,yeah </u><u> but just just saying about the pi you know just you mentioning the pirates and that smuggling cos they did an aerial
"Discussing|Explaining|Announcing,School, YHA volunteering in Cornwall, travelling, lighthouse, relationships, photos, cycle race, Yorkshire in a day, crabs",might he might be doing a couple of days of supply work for so </u><u> yeah </u><u> mm </u><u> it''s funny all the bu all ran out ran out of everything,right,? they''d ate everything and yet as soon as you put something down they''re all back in </u><u> come back in yeah </u><u> mm </u><u> mm it
"Discussing|Explaining|Complaining,Health, politics, finance, TV",<u> I keep getting sucked into it and like it''s so bright and lairy and my eyes it kind of just sucks you,right,in turn into like it''s worse than it used to be really zombifies me completely </u><u> oh
"Discussing|Explaining|Advising|Requesting|Making arrangements,Menopause, Reflexology, Chakra, family, family relationships, health, pregnancy, medical problems, hysterectomy, skiing, palliative care/bereavement, herbal remedy, witches, operations, family relationships, relaxation techniques, diets/food, alcohol/drinking, spirit/afterlife, hypermobility, microwave endometrial ablation, Reiki",on your feet today </u><u> mm </u><u> I''ll give them a bit of a clean over before I start working </u><u> yeah lovely thank you </u><u> okay?,right,put your name on there first </u><u> I can''t believe how long it is since I''ve been actually it''s </u><u> how long is it? </u><u> well I
