A,B,C,D
,         all the final Right in question.   Oh right and yeah right been removed alsooo,,
"Discussing|Explaining|Anecdote telling,Computer programming, food, wine, temperature, saunas, opening presents",free dark chocolate </u><u> I I can see I can see a pattern here </u><u> </unclea> </u><u> what is it? what is it? was I,right,? oh </unclea> kind of thing </u><u> you will agree </u><u> oh </u><u> that this is a bottle of something </u><u> </u><u>
"Discussing|Explaining|Anecdote telling,Computer programming, food, wine, temperature, saunas, opening presents",</u><u> </u><u> </unclea> </u><u> beige cups </u><u> so you guys have played Jungle Speed,right,? yeah </u><u> they have Jungle Speed they introduced me to Jungle Speed </u><u> it''s such a terrible game it''s so
"Discussing|Explaining,(Unknown)",<u> mm thank you thank you ah now those spuds look very good </u><u> mm </u><u> this is the Pulciano isn''t it? is that,right,? this is </u><u> this is the </u><u> yes the </u><u> the </u><u> Pulciano </u><u> Italian </u><u> yeah mm </u><u> mm </u><u> I think you''ll like actually it''s a nice sort of </u>
"Discussing|Explaining|Announcing,School, YHA volunteering in Cornwall, travelling, lighthouse, relationships, photos, cycle race, Yorkshire in a day, crabs",might he might be doing a couple of days of supply work for so </u><u> yeah </u><u> mm </u><u> it''s funny all the bu all ran out ran out of everything,right,? they''d ate everything and yet as soon as you put something down they''re all back in </u><u> come back in yeah </u><u> mm </u><u> mm it
"Discussing|Explaining|Inquiring|Complaining|Advising|Anecdote telling|Making arrangements,Friends, family, work, holidays, festivals, houses",<u> it''s quite expensive so people are paying like a hundred quid a hundred and something quid for three nights in this place,right,? and obviously people are also having to book time off work and they''re having to book the Friday and the Monday off work
"Discussing|Explaining|Inquiring|Complaining|Advising|Anecdote telling|Making arrangements,Friends, family, work, holidays, festivals, houses",so she thinks he''ll want to incorporate this stag do with this trip to Vegas so that he can basically gets the Vegas stag do,right,? she also said he wants to have his first kid by the time he''s like thirty or something which basically does
"Discussing|Explaining|Inquiring|Complaining|Advising|Anecdote telling|Making arrangements,Friends, family, work, holidays, festivals, houses",but like you just I just think fuck it''s annoying </u><u> yeah </u><u> and like even little things like my washing,right,? and it''s cos it''s I should feel so grateful about it but it gets done all the time for me
"Discussing|Explaining|Inquiring|Complaining|Advising|Anecdote telling|Making arrangements,Friends, family, work, holidays, festivals, houses",alright oh yeah sorry I didn''t invite you </u><u> what I said </u><u> it''s awkward </u><u> I said like like so tonight,right,? I''ve popped in to see you </u><u> yeah </u><u> imagine if you lived next d she''d be like well she would I know she </u>
"Discussing|Explaining|Inquiring,Food, Drink, Weather, Cities and towns in Istria, Accommodation, Food, Animals, Food technology at school, Photography, Swimming pool , Ebola, Immigration officers , Air travel , Marijuana, Countries that we would like to visit , Friends , Tics, Seasons, New inventions, Steve Job",cash money money oh I just remember I was gonna tell you could you remi alright do you know Bill Gates,right,? I don''t know if I told you about this but he commission there''s like this thing called the Bill Gates Foundation it had
"Discussing|Explaining|Inquiring,Food, Drink, Weather, Cities and towns in Istria, Accommodation, Food, Animals, Food technology at school, Photography, Swimming pool , Ebola, Immigration officers , Air travel , Marijuana, Countries that we would like to visit , Friends , Tics, Seasons, New inventions, Steve Job",you </u><u> you''re welcome </u><u> oh stroking a cat that''s not a good idea that''s not a smart idea my friend </u><u> is it,right,? </u><u> er er I''m just looking at how many things we had there''s eight things there we had four meals two
"Discussing|Explaining|Inquiring|Anecdote telling|Telling jokes,Discussing/eating food, bedrooms, maths, Sugarhouse nightclub, the flooding in Lancaster, camping, travelling in Africa, games, Twilight, Jack Whitehall, The Big Fat Quiz, Cloud Atlas, the Chaos Walking trilogy, TV shows, mutual friends, The Vampire Diaries, How I Met Your Mother, playing Articulate, playing Heads Up, reading thrillers, bad presents, timetables, courses, Charlie Simpson, quizzes, University Challenge, Hungry Hippos, religious beliefs, primary school memories, secret Santa, physics work, sports kit tops, talking about in jokes, airport scanners, bruising, Rocky Horror Picture Show, boxers, blood donation, module assessments, flavoured vodka, City of Bones, cracking knuckles",about it but yeah probably </u><u> I figured you were ninety-five b cos I''m ninety-six </u><u> yeah you''re ninety-six,right,? no? </u><u> ninety-five </u><u> oh yeah cos you''re older than </u><u> she''s twenty-five god </u><u> oh yeah </u><u> </u><u> you''re
