A,B,C,D
"Discussing|Explaining|Anecdote telling,Computer programming, food, wine, temperature, saunas, opening presents",oh right </u><u> it''s it''s gonna be very sweet I think it''s like apple and pear and cinnamon and stuff </u><u> </unclea> </u><u>,right,</u><u> mm </u><u> squirrelling away ribbon </u><u> </u><u> it should be okay? had some with my parents
"Discussing|Explaining|Anecdote telling,Computer programming, food, wine, temperature, saunas, opening presents",it wasn''t very good so I just thought ah let''s just get this over with so we can get on to the next one </u><u> </u><u> </u><u>,right,</u><u> yeah </u><u> mm mm </u><u> mm have you tried the chutney? I think it''s nice try that </u><u> I''m not entirely
"Discussing|Explaining|Anecdote telling,Computer programming, food, wine, temperature, saunas, opening presents",have it airing because the true flavour of the wine will be more aired than what you get when you first open that bottle </u><u>,right,so like what the manufacturers want you to taste is open aired </u><u> well you can''t think if you''re having nice wine coming off
"Discussing|Explaining|Anecdote telling,Computer programming, food, wine, temperature, saunas, opening presents",a Weight Watchers type shake except </u><u> oh right like smoothies all this shit? </u><u> but it''s like fully nutritionally balanced </u><u>,right,</u><u> so you could live just off this thing instead </u><u> just on that? ah how soulless </u><u> erm there''ve been people doing I know but like
"Discussing|Explaining|Anecdote telling,Computer programming, food, wine, temperature, saunas, opening presents",in for dinner you''re like? </u><u> yeah I see the </u><u> well no he does still eat sometimes and he goes out </u><u> yeah </u><u> for meals and stuff it just </u><u>,right,</u><u> means that he''s spending his money on like he''ll go out for like a nice meal once a week instead or something </u><u> yeah </u><u> yeah </u><u> and
"Discussing|Explaining|Anecdote telling,Computer programming, food, wine, temperature, saunas, opening presents",<u> I feel like this table''s kind of in the way a bit </u><u> just smash it </u><u> </unclea> </u><u> </u><u>,right,</unclea> </u><u> socks </u><u> that''s really good </u><u> </unclea> </u><u> can I get in line? </u><u> yeah </u><u> </u><u> so you just grab
"Discussing|Explaining|Anecdote telling,Computer programming, food, wine, temperature, saunas, opening presents",drawer and the gloves </u><u> oh right I quite like these I like the colour of them </unclea> </u><u>,right,is there something else in here I''m just gonna draw the thing lovely </u><u> does anyone want blue gloves? </u><u> alright thanks </u><u> blue
"Discussing|Explaining|Anecdote telling,Computer programming, food, wine, temperature, saunas, opening presents",seeds </u><u> cheesy </u><u> this feels like seeds as well </u><u> little no </u><u> yeah </u><u> it''s not I was gonna go for little cheesy crackery thingies </u><u>,right,three two I was gonna </u><u> </unclea> </u><u> oh </u><u> </u><u> </unclea> </u><u> I''ve got pine nuts awesome </u>
"Discussing|Explaining|Anecdote telling,Computer programming, food, wine, temperature, saunas, opening presents",<u> is that it? </u><u> </u><u> yes the bag is empty </u><u> the frenzy the frenzy </unclea> </u><u> the frenzy bag is empty </u><u>,right,</u><u> that was good </u><u> wow </u><u> okay </u><u> </u><u> presents woohoo </u><u> I''ve just got a </unclea> actually </u><u> yeah
"Discussing|Explaining|Anecdote telling,Computer programming, food, wine, temperature, saunas, opening presents",to me opening macadamia nuts? </u><u> I''m certainly not opposed </u><u> violently opposed to it </unclea> </u><u> </u><u>,right,this is for you two and thank you for having us oh thank you </u><u> woo </u><u> I recognise this bag is it very old? </u>
"Discussing|Explaining|Anecdote telling,Computer programming, food, wine, temperature, saunas, opening presents",good with erm ginger ale and </u><u> there you go that''s what we''re talking about </u><u> we''ve got juice I think it''ll be nice with juice </u><u>,right,presents </u><u> here we go </u><u> how very diplomatic </u><u> </u><u> thank you very much no I like it anyway </u><u> oh it''s so tasty yum yum yum </u>
"Discussing|Explaining|Anecdote telling,Computer programming, food, wine, temperature, saunas, opening presents",I don''t like it so </u><u> </unclea> honesty </u><u> oh </u><u> best policy </u><u> thank you </u><u> </u><u> ah birthday excellent </u><u>,right,you can open that cos that''s for you and </u><u> oh right </u><u> now equally actually this is a bit of a
"Discussing|Explaining|Anecdote telling,Computer programming, food, wine, temperature, saunas, opening presents",it </u><u> yeah and then there''s that as well </u><u> oh well I''ll try this one out </unclea> very good </u><u>,right,</u><u> next okay er right I er what''s this one again? ah this is from you isn''t it to me shall I
"Discussing|Explaining|Anecdote telling,Computer programming, food, wine, temperature, saunas, opening presents",I open this? </u><u> yes </u><u> that''s what you wrapped this morning </u><u> which one is that? is that one </u><u> </u><u> </u><u> </u><u>,right,erm oh the tag''s come off so I can''t remember if that is to one of you or both of you ah no this is to both of you </u><u> ah </u><u> but you need
"Discussing|Explaining|Anecdote telling,Computer programming, food, wine, temperature, saunas, opening presents",<u> </u><u> get in there </u><u> I didn''t think I''d be guessing chocolate monkey at anything but I dunno </u><u> </u><u>,right,I''m opening this one I''m opening this one </u><u> oh really good it''s brilliant damn </u><u> right
"Discussing|Explaining|Anecdote telling,Computer programming, food, wine, temperature, saunas, opening presents",<u> </u><u> right I''m opening this one I''m opening this one </u><u> oh really good it''s brilliant damn </u><u>,right,damn really fine </u><u> damn oh </unclea> </u><u> jungle speed safari </u><u> ah
"Discussing|Explaining|Anecdote telling,Computer programming, food, wine, temperature, saunas, opening presents",? </u><u> yeah that''s perfectly fine thank you </u><u> </u><u> that''s brilliant awesome it''s what just was required </u><u> mm </u><u>,right,into my little pile of stuff right here </u><u> yeah not interesting but required </u><u> tr trade mm mm </u><u> er what one we''re in? </u><u> the long one
"Discussing|Explaining|Anecdote telling,Computer programming, food, wine, temperature, saunas, opening presents",goes in my list </u><u> mm mm mm mm </u><u> mm </u><u> did you put? </u><u> olive oil </u><u> </u><u> that was good </u><u> mm mm mm mm mm mm mm mm mm </u><u> </u><u>,right,I''m gonna say this </u><u> this one''s about the right </unclea> </u><u> is some kind of stick for beating children </u>
"Discussing|Explaining|Anecdote telling,Computer programming, food, wine, temperature, saunas, opening presents",bedding pleasant thing </u><u> oh the first time they''re sheared </u><u> time that the sheep has a shearing </u><u> oh right maybe </u><u> oh </u><u>,right,</u><u> baby you are sitting on a present there </u><u> huh </u><u> </u><u> right </u><u> have I opened it yet? </u><u> no </u><u> first </u><u> and there''s another one </u><u> erm is
"Discussing|Explaining|Anecdote telling,Computer programming, food, wine, temperature, saunas, opening presents",sheared </u><u> time that the sheep has a shearing </u><u> oh right maybe </u><u> oh </u><u> right </u><u> baby you are sitting on a present there </u><u> huh </u><u> </u><u>,right,</u><u> have I opened it yet? </u><u> no </u><u> first </u><u> and there''s another one </u><u> erm is this garbage ? </u><u> right </u><u> try a bit of that </u>
"Discussing|Explaining|Anecdote telling,Computer programming, food, wine, temperature, saunas, opening presents",on a present there </u><u> huh </u><u> </u><u> right </u><u> have I opened it yet? </u><u> no </u><u> first </u><u> and there''s another one </u><u> erm is this garbage ? </u><u>,right,</u><u> try a bit of that </u><u> mm </u><u> if you don''t like these cos I felt like this was almost a little bit of me putting
"Discussing|Explaining|Anecdote telling,Computer programming, food, wine, temperature, saunas, opening presents",is this one for me as well? </u><u> </unclea> er yeah </u><u> </unclea> </u><u> mm </u><u>,right,now you two have got one more </u><u> mm </u><u> but you need to read the labels before you er look at it also this is a
"Discussing|Explaining|Anecdote telling,Computer programming, food, wine, temperature, saunas, opening presents",<u> best one obviously </u><u> well well yeah </u><u> best one </u><u> cos of you being her </u><u> clearly </u><u> obviously </u><u> obviously eh </u><u>,right,</u><u> ah </u><u> what do you think of the next layer? </u><u> I think that one </u><u> </u><u> </unclea> looks nice </u><u>
"Discussing|Explaining|Anecdote telling,Computer programming, food, wine, temperature, saunas, opening presents",you said does it begin with B? yes </u><u> </u><u> ah </u><u> </unclea> </u><u> er come on I want another question </u><u>,right,er in Donkey Kong Country for the SNES </u><u> </u><u> </u><u> a second </u><u> </u><u> a second
"Discussing|Explaining|Anecdote telling,Computer programming, food, wine, temperature, saunas, opening presents",like yeah </u><u> yeah it''s all and now it''s been surpassed </u><u> yeah </u><u> been surpassed twice now </u><u> </unclea> </u><u> mm </u><u>,right,what one might be </u><u> mm </u><u> potentially doable? </u><u> </u><u> </u><u> skip skip skip </u><u> no </u><u> oh come on give us some hard
"Discussing|Explaining|Anecdote telling,Computer programming, food, wine, temperature, saunas, opening presents",for other things </u><u> well do </u><u> mm </u><u> because it''s awesome </u><u> do do not be restricted by what they have what it has contained at one time </u><u>,right,</u><u> allow your present to evolve </u><u> how many ribbons would you like back? </u><u> yeah </u><u> can''t waste them </u><u> erm ask cos most of
"Discussing|Explaining|Anecdote telling,Computer programming, food, wine, temperature, saunas, opening presents",just shed it I just thought it''d been like chopped off some reindeer which is just like </u><u> no they do shed them yeah </u><u> brutal </u><u>,right,I''m gonna make a bag gonna make a bag of things down here </u><u> but Norwegians wouldn''t stop at you know they do
"Discussing|Explaining|Anecdote telling,Computer programming, food, wine, temperature, saunas, opening presents",have you </u><u> don''t like John Stark </unclea> don''t like him no no </u><u>,right,</u><u> no </u><u> you don''t want this? </u><u> erm I think originally I had some Targaryen ones but they''ve gone </u><u> no I''d I''d like that
"Discussing|Explaining|Anecdote telling,Computer programming, food, wine, temperature, saunas, opening presents",get rid of stuff </u><u> </unclea> </u><u> was gonna take your shoe </u><u> nice and small </u><u> awesome </u><u> no maybe </u><u>,right,well I''m excited about this tea personally </u><u> it''s on the side in her bedroom? </u><u> what? </u><u> we''re having some tea </u><u> no we looked it up
"Discussing|Explaining|Anecdote telling,Computer programming, food, wine, temperature, saunas, opening presents",<u> </u><u> absolutely foul </u><u> anyone want this? </u><u> oh yeah I''ll have it </u><u> mm mm mm mm </u><u> very nice </u><u> I''m gonna take these downstairs </u><u>,right,I''ll leave the sherry out here cos I might have some sherry at some point </u><u> are you gonna leave this up here then? </u><u>
"Discussing|Explaining|Inquiring,The art",<u> I''ll just see where this coffee went </u><u> mm what happened? </u><u> oh he''s gonna bring it </unclea> </u><u>,right,so what do you think? what did you think about? </u><u> well erm yeah I mean you know he''s erm he''s an interesting
